Datetime,Direction,Pattern,Score,ADX,Close,SL,TP
2023-12-01 16:30:00,BUY,Bullish Inside Bar,7,37.87839596946162,2058.088,2054.908,2067.628000000001
2023-12-07 09:30:00,BUY,Bullish Inside Bar,6,28.36062136529332,2033.695,2030.744,2042.548
2023-12-11 08:30:00,SELL,Bearish Inside Bar,6,29.850827849855065,1995.389,1998.267,1986.7549999999994
2023-12-14 06:00:00,BUY,Three White Soldiers,9,42.49829736832703,2036.813,2033.677,2046.2210000000007
2023-12-22 04:00:00,BUY,Morning Star,7,26.187482411879014,2049.401,2047.5839999999998,2054.852
2023-12-22 13:30:00,BUY,Bullish Pin Bar,9,41.4090307606558,2063.174,2057.153,2081.2370000000005
2024-01-03 06:00:00,BUY,Bullish Engulfing,7,30.35926124329047,2065.151,2063.057,2071.433
2024-01-08 09:45:00,SELL,Bearish Pin Bar,10,49.20900835229173,2029.089,2032.188,2019.7919999999995
2024-01-12 11:15:00,BUY,Bullish Inside Bar,6,36.16426132809055,2045.481,2044.342,2048.8979999999997
2024-01-12 13:15:00,BUY,Bullish Engulfing,11,45.52547484463759,2048.553,2043.842,2062.6859999999992
2024-01-22 08:45:00,SELL,Hanging Man,6,34.9554859511544,2022.109,2023.225,2018.761
2024-01-22 17:15:00,SELL,Bearish Engulfing,8,25.243781195431875,2023.374,2025.045,2018.3609999999999
2024-01-22 23:45:00,SELL,Bearish Inside Bar,6,32.77212286200315,2020.552,2021.433,2017.9089999999997
2024-01-24 18:30:00,SELL,Bearish Inside Bar,7,44.34027673415713,2014.212,2016.545,2007.2129999999997
2024-01-25 18:30:00,SELL,Bearish Engulfing,7,25.721963370662763,2015.374,2018.435,2006.1910000000003
2024-01-26 17:00:00,SELL,Hanging Man,6,30.208064017408503,2018.603,2019.293,2016.5330000000006
2024-02-01 04:30:00,BUY,Bullish Engulfing,8,27.373169537276137,2046.242,2044.466,2051.57
2024-02-05 07:45:00,SELL,Bearish Inside Bar,6,38.52947503285577,2027.502,2029.454,2021.646
2024-02-05 12:30:00,SELL,Three Black Crows,9,36.89698286863101,2023.19,2025.838,2015.2460000000003
2024-02-08 05:45:00,SELL,Hanging Man,6,28.820498710015617,2033.387,2034.183,2030.9989999999998
2024-02-21 06:15:00,BUY,Bullish Inside Bar,7,38.408824793797194,2030.374,2029.022,2034.4300000000003
2024-02-23 09:30:00,SELL,Three Black Crows,7,29.002560479396195,2016.692,2018.581,2011.0250000000003
2024-02-23 20:45:00,BUY,Bullish Inside Bar,6,41.52447531129572,2036.549,2035.405,2039.981
2024-02-27 08:00:00,BUY,Bullish Pin Bar,9,36.637155871512896,2035.625,2034.073,2040.2809999999997
2024-02-27 11:30:00,BUY,Bullish Engulfing,8,34.636418684534895,2037.738,2034.99,2045.9820000000002
2024-02-28 15:15:00,BUY,Bullish Pin Bar,8,32.80761493114536,2032.982,2029.882,2042.2819999999997
2024-02-28 17:45:00,BUY,Bullish Engulfing,7,29.586402203183233,2033.761,2031.789,2039.677
2024-03-01 17:00:00,BUY,Three White Soldiers,8,39.7642731356569,2084.831,2079.396,2101.136
2024-03-04 21:15:00,BUY,Bullish Inside Bar,8,53.82872518644105,2115.935,2114.915,2118.995
2024-03-05 06:45:00,BUY,Bullish Engulfing,9,29.898372416976393,2117.214,2114.777,2124.5249999999996
2024-03-05 09:45:00,BUY,Bullish Pin Bar,8,38.14635310326347,2124.493,2121.729,2132.7850000000003
2024-03-05 11:00:00,BUY,Morning Star,10,41.085801600703505,2126.62,2122.04,2140.3599999999997
2024-03-05 13:15:00,BUY,Three White Soldiers,9,34.82978301617751,2131.703,2125.018,2151.758
2024-03-05 14:00:00,BUY,Bullish Inside Bar,8,38.95928291046817,2130.298,2123.681,2150.148999999999
2024-03-05 19:00:00,BUY,Morning Star,8,35.16315406843342,2132.754,2130.291,2140.142999999999
2024-03-06 18:15:00,BUY,Three White Soldiers,7,27.37424832065715,2150.647,2145.987,2164.6269999999995
2024-03-07 07:45:00,BUY,Bullish Pin Bar,6,26.58650496701345,2155.951,2151.678,2168.7700000000004
2024-03-08 16:15:00,BUY,Bullish Inside Bar,6,32.78045752622067,2174.584,2172.407,2181.114999999999
2024-03-13 13:15:00,BUY,Bullish Engulfing,6,25.091385840079397,2164.52,2160.872,2175.4640000000004
2024-03-13 14:30:00,BUY,Bullish Inside Bar,7,32.610927938572246,2168.049,2165.53,2175.6059999999993
2024-03-21 04:45:00,BUY,Bullish Inside Bar,7,44.649384538451514,2203.295,2202.023,2207.111
2024-03-28 18:45:00,BUY,Bullish Inside Bar,7,32.84512232229199,2220.425,2218.197,2227.1090000000004
2024-04-01 05:30:00,BUY,Bullish Engulfing,10,62.21493921978579,2260.791,2257.358,2271.09
2024-04-03 17:45:00,BUY,Bullish Engulfing,7,31.6438385860623,2294.985,2291.009,2306.9130000000005
2024-04-09 06:15:00,BUY,Bullish Pin Bar,7,38.6259851714484,2345.836,2342.581,2355.6009999999987
2024-04-09 07:00:00,BUY,Bullish Engulfing,10,38.742860680617774,2355.095,2343.813,2388.940999999999
2024-04-12 06:15:00,BUY,Bullish Inside Bar,7,45.61037307264259,2387.445,2384.318,2396.826
