date,family_id,occurrences,first_previous_clock,last_previous_clock,first_current_clock,last_current_clock,median_gap_minutes,min_gap_minutes,max_gap_minutes,year,month,weekday
2022-05-17,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,5,Tuesday
2022-05-18,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,5,Wednesday
2022-05-19,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,5,Thursday
2022-05-23,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,5,Monday
2022-05-24,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,5,Tuesday
2022-05-25,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,5,Wednesday
2022-05-26,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,5,Thursday
2022-05-31,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,5,Tuesday
2022-06-01,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,6,Wednesday
2022-06-02,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,6,Thursday
2022-06-06,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,6,Monday
2022-06-07,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,6,Tuesday
2022-06-08,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,6,Wednesday
2022-06-09,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,6,Thursday
2022-06-13,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,6,Monday
2022-06-14,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,6,Tuesday
2022-06-15,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,6,Wednesday
2022-06-16,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,6,Thursday
2022-06-21,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,6,Tuesday
2022-06-22,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,6,Wednesday
2022-06-23,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,6,Thursday
2022-06-27,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,6,Monday
2022-06-28,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,6,Tuesday
2022-06-29,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,6,Wednesday
2022-06-30,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,6,Thursday
2022-07-05,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,7,Tuesday
2022-07-06,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,7,Wednesday
2022-07-07,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,7,Thursday
2022-07-11,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,7,Monday
2022-07-12,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,7,Tuesday
2022-07-13,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,7,Wednesday
2022-07-14,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,7,Thursday
2022-07-18,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,7,Monday
2022-07-19,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,7,Tuesday
2022-07-20,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,7,Wednesday
2022-07-21,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,7,Thursday
2022-07-25,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,7,Monday
2022-07-26,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,7,Tuesday
2022-07-27,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,7,Wednesday
2022-07-28,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,7,Thursday
2022-08-01,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,8,Monday
2022-08-02,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,8,Tuesday
2022-08-03,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,8,Wednesday
2022-08-04,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,8,Thursday
2022-08-08,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,8,Monday
2022-08-09,P30_C35_D64,1,20:57,20:57,22:01,22:01,64.0,64.0,64.0,2022,8,Tuesday
